WARN   | wrapper  | 2014/06/25 12:51:02 | Unable to write to the configured log directory: /home/depellegrin/git/tomcat-lsd/tomcat-install/logs (No such file or directory)
WARN   | wrapper  | 2014/06/25 12:51:02 |   The directory does not exist.
WARN   | wrapper  | 2014/06/25 12:51:02 | Unable to write to the configured log file: /home/depellegrin/git/tomcat-lsd/tomcat-install/logs/tomcat_1.wrapper.log (No such file or directory)
WARN   | wrapper  | 2014/06/25 12:51:02 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2014/06/25 12:51:02 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/06/25 12:51:02 | Java Service Wrapper Community Edition 64-bit 3.5.16
STATUS | wrapper  | 2014/06/25 12:51:02 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/25 12:51:02 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/25 12:51:02 | 
WARN   | wrapper  | 2014/06/25 12:51:02 | Encountered an invalid numerical value for configuration property wrapper.java.initmemory=512m.  Resolving to 512.
WARN   | wrapper  | 2014/06/25 12:51:02 | Encountered an invalid numerical value for configuration property wrapper.java.maxmemory=1024m.  Resolving to 1024.
WARN   | wrapper  | 2014/06/25 12:51:02 | ---------------------------------------------------------------------
WARN   | wrapper  | 2014/06/25 12:51:02 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2014/06/25 12:51:02 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2014/06/25 12:51:02 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2014/06/25 12:51:02 | ---------------------------------------------------------------------
STATUS | wrapper  | 2014/06/25 12:51:02 | Launching a JVM...
INFO   | jvm 1    | 2014/06/25 12:51:02 | Listening for transport dt_socket at address: 8501
INFO   | jvm 1    | 2014/06/25 12:51:02 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/25 12:51:02 | Jun 25, 2014 12:51:02 PM org.apache.catalina.startup.Catalina initDirs
INFO   | jvm 1    | 2014/06/25 12:51:02 | SEVERE: Cannot find specified temporary folder at /home/depellegrin/git/tomcat-lsd/tomcat-install/tomcat_shared/temp
INFO   | jvm 1    | 2014/06/25 12:51:02 | Jun 25, 2014 12:51:02 PM org.apache.tomcat.util.digester.Digester startElement
INFO   | jvm 1    | 2014/06/25 12:51:02 | SEVERE: Begin event threw exception
INFO   | jvm 1    | 2014/06/25 12:51:02 | java.lang.ClassNotFoundException: org.apache.catalina.core.JasperListener
